测点名称    
J7point(N)

位置初始值(mm)
0.0338  
速度初始值(mm/d)
0       

观测噪声协方差(mm^2)  状态噪声协方差(mm^2)
3.404                   0.308   

状态模型    
常速度模型   

滤波方法    
抗差Kalman滤波

监测期号    原始坐标序列(mm)    滤波值(mm)    预测值(mm) 
253            -0.06            -0.032         0.0075         
254            0.562            0.0866         0.0363         
255            -0.388           0.0498         0.1687         
256            -0.211           0.0399         0.1192         
257            -1.178           -0.1177        0.102          
258            -1.227           -0.2721        -0.0866        
259            0.014            -0.2275        -0.2688        
260            1.058            0.3977         -0.1035        
261            -0.9             -0.0151        0.4355         
262            -0.161           -0.0478        -0.0017        
263            -0.706           -0.1877        -0.0262        
264            0.094            -0.1292        -0.1842        
265            -0.149           -0.1286        -0.1187        
266            0.468            -0.0197        -0.1187        
267            0.676            0.1066         0.004          
268            0.393            0.1695         0.1461         
269            0.145            0.1845         0.2142         
270            0.145            0.1795         0.1853         
271            -0.37            0.1233         0.2232         
272            -0.794           0.0106         0.155          
273            -0.008           0.0129         0.022          
274            -0.472           -0.0508        0.0237         
275            0.915            0.0868         -0.0514        
276            0.929            0.2181         0.1092         
277            0.619            0.2948         0.2607         
278            -0.462           0.2054         0.3468         
279            0.497            0.2626         0.2379         
280            -0.7             0.1353         0.302          
281            -0.17            0.0956         0.1499         
282            -0.316           0.0399         0.0981         
283            1.279            0.191          0.0398         
284            -0.338           0.134          0.2043         
285            0.895            0.2332         0.1459         
286            -4.671           0.2353         0.2374         
287            0.425            0.3006         0.3146         
288            -0.23            0.2245         0.3263         
289            0.957            0.3551         0.2453         
290            0.035            0.3142         0.3745         
291            3.703            0.398          0.3155         
292            1.622            0.5734         0.4162         
293            0.444            0.5854         0.643          
294            0.957            0.666          0.6512         
295            1.198            0.7733         0.7397         
296            -0.257           0.6616         0.8587         
297            -0.181           0.5649         0.7215         
298            -0.699           0.3967         0.6038         
299            -0.981           0.1973         0.4045         
300            -0.537           0.0777         0.1716         
301            0.247            0.0844         0.0344         
302            -0.227           0.0216         0.0458         
303            0.92             0.1363         -0.0242        
304            0.209            0.1373         0.1131         
305            -0.24            0.0718         0.1162         
306            -0.809           -0.0732        0.0417         
307            -1.612           -0.3261        -0.1245        
308            0.196            -0.2852        -0.4145        
309            0.659            -0.175         -0.3598        
310            -0.16            -0.1942        -0.2255        
311            0.603            -0.0954        -0.2437        
312            -0.278           -0.1353        -0.1248        
313            -0.257           -0.1679        -0.1689        
314            -1.272           -0.3492        -0.204         
315            -1.387           -0.5319        -0.4119        
316            -0.363           -0.5436        -0.6192        
317            0.704            -0.3909        -0.6257        
318            -0.277           -0.3952        -0.4414        
319            0.96             -0.2115        -0.4424        
320            -0.115           -0.2027        -0.2249        
321            -0.714           -0.2842        -0.2135        
322            -1.039           -0.4076        -0.3074        
323            -1.425           -0.5782        -0.449         
324            -0.187           -0.5344        -0.6013        
325            -0.069           -0.4888        -0.5713        
326            0.777            -0.3377        -0.5351        
327            -1.164           -0.459         -0.3552        
328            1.076            -0.2598        -0.4952        
329            -0.242           -0.2573        -0.2598        
330            -0.299           -0.263         -0.2568        
331            -1.33            -0.4181        -0.2636        
332            -1.316           -0.5542        -0.4385        
333            -0.469           -0.5684        -0.6181        
334            0.457            -0.4328        -0.6072        
335            -0.07            -0.3866        -0.4515        
336            0.726            -0.2243        -0.3962        
337            -0.058           -0.1918        -0.2064        
338            -0.183           -0.1812        -0.17          
339            -0.748           -0.2571        -0.1594        
340            -0.208           -0.2465        -0.2495        
341            0.125            -0.1873        -0.2381        
342            -0.092           -0.1746        -0.1867        
343            0.029            -0.1388        -0.1549        
344            0.159            -0.0879        -0.1149        
345            0.783            0.0459         -0.0575        
346            -0.413           0.0029         0.0961         
347            -0.371           -0.0338        0.0417         
348            -1.011           -0.1621        -0.0043        
349            -0.078           -0.1475        -0.1565        
350            -0.207           -0.153         -0.1399        
351            -0.537           -0.203         -0.1519        
352            -0.512           -0.2442        -0.2049        
353            -0.45            -0.2758        -0.2533        
354            0.652            -0.1546        -0.2894        
355            -0.283           -0.1691        -0.1467        
356            -0.289           -0.184         -0.1643        
357            -1.071           -0.3105        -0.1821        
358            -0.148           -0.2953        -0.33          
359            0.226            -0.2255        -0.3106        
360            0.171            -0.1681        -0.2279        
361            1.598            0.0696         -0.1659        
362            -0.95            -0.0738        0.2892         
363            0.767            0.0957         -0.0688        
364            0.644            0.1951         0.1064         
365            1.206            0.3845         0.2424         
366            0.734            0.4721         0.4572         
367            0.617            0.5291         0.5526         
368            1.426            0.7055         0.6123         
369            0.204            0.6714         0.8095         
370            0.244            0.6405         0.7512         
371            0.389            0.611          0.65           
372            0.431            0.6187         0.6851         
373            0.595            0.6453         0.688          
374            1.084            0.7357         0.7134         
375            1.167            0.8297         0.813          
376            1.451            0.9554         0.9162         
377            1.609            1.0924         1.0555         
378            0.665            1.0792         1.207          
379            0.628            1.0545         1.1745         
380            -0.862           0.812          1.0611         
381            0.277            0.7633         0.8619         
382            1.38             0.8581         0.7949         
383            1.389            0.9198         0.8581         
384            1.008            0.962          0.991          
385            0.383            0.9148         1.0244         
386            1.121            0.9634         0.9638         
387            1.516            1.0614         1.0165         
388            0.798            1.053          1.1269         
389            0.085            0.9409         1.1113         
390            -0.613           0.732          0.9751         
391            -0.178           0.5978         0.7279         
392            0.337            0.5481         0.5713         
393            0.463            0.5217         0.5156         
394            0.376            0.4854         0.4874         
395            0.984            0.544          0.448          
396            0.661            0.5511         0.5194         
397            -0.1             0.4442         0.5296         
398            -0.238           0.3258         0.407          
399            0.827            0.3831         0.2928         
400            0.804            0.4317         0.3672         
401            0.584            0.4382         0.3995         
402            0.255            0.4009         0.4098         
403            -0.223           0.3067         0.3769         
404            -0.728           0.1743         0.2948         
405            1.052            0.2565         0.1072         
406            0.433            0.2589         0.2089         
407            -0.337           0.1602         0.2157         
408            -0.153           0.0929         0.1039         
409            0.487            0.121          0.03           
410            1.502            0.2949         0.0682         
411            0.714            0.3472         0.2759         
412            1.587            0.5087         0.3449         
413            -0.968           0.328          0.5187         
414            -0.696           0.1302         0.2878         
415            -0.23            0.0617         0.1066         
416            -1.247           -0.136         0.0461         
417            -0.295           -0.1613        -0.1466        
418            0.513            -0.1           -0.2151        
419            3.187            -0.0403        -0.1389        
420            3.187            0.0417         -0.0405        
421            1.609            0.2237         0.0057         
422            -3.741           0.0833         0.1665         
423            0.332            0.1369         0.0666         
424            0.985            0.3153         0.1185         
425            1.748            0.609          0.3247         
426            0.012            0.5133         0.6375         
427            1.25             0.6389         0.5294         
428            0.534            0.6447         0.692          
429            1.406            0.7837         0.6947         
430            1.323            0.8946         0.851          
431            0.043            0.7993         0.9738         
432            -0.031           0.6992         0.8575         
433            -0.007           0.6096         0.7371         
434            0.548            0.6092         0.6303         
435            1.193            0.7044         0.6282         
436            0.497            0.6874         0.7371         
437            1.594            0.8344         0.7147         
438            1.2              0.9099         0.8834         
439            0.017            0.8006         0.9672         
440            0.218            0.7281         0.8355         
441            0.245            0.6642         0.7482         
442            1.163            0.7425         0.6722         
443            0.803            0.7602         0.7627         
444            0.543            0.7366         0.7816         
445            1.4              0.8432         0.7524         
446            1.048            0.8876         0.8751         
447            0.203            0.8            0.9242         
448            -0.1             0.6725         0.8193         
449            1.403            0.7813         0.6694         
450            2.076            0.9828         0.7962         
451            1.59             1.0941         1.0294         
452            0.878            1.0874         1.1551         
453            2.02             1.2513         1.1423         
454            1.79             1.3652         1.3284         
455            -0.088           1.1842         1.4546         
456            -0.04            1.0222         1.2369         
457            1.119            1.0461         1.0441         
458            2.365            1.2549         1.0701         
459            2.495            1.4654         1.311          
460            1.176            1.4583         1.5513         
461            2.341            1.6242         1.536          
462            2.209            1.754          1.7225         
463            0.676            1.6391         1.8655         
464            0.617            1.5208         1.7228         
465            1.609            1.5586         1.5784         
466            3.082            1.7804         1.5831         
467            2.66             2.2977         2.4878         
468            -0.128           1.8615         2.4138         
469            2.579            2.049          1.9098         
470            1.949            2.0555         2.1196         
471            2.689            2.2065         2.1222         
472            2.324            2.2618         2.2892         
473            1.439            2.1532         2.3465         
474            1.178            2.0161         2.2165         
475            2.618            2.1302         2.055          
476            3.118            2.3091         2.1831         
477            3.185            2.4776         2.3849         
478            2.547            2.5288         2.5733         
479            3.135            2.662          2.625          
480            3.479            2.8323         2.7716         
481            1.465            2.702          3.0883         
482            2.989            2.7864         2.7887         
483            2.462            2.7718         2.8797         
484            2.583            2.7762         2.8553         
485            2.268            2.7276         2.8537         
486            2.268            2.7162         3.4909         
487            2.899            2.7849         2.7338         
488            2.583            2.7375         2.8094         
489            2.943            2.7932         2.7551         
490            2.032            2.641          2.8164         
491            3.291            2.7681         2.6443         
492            4.906            3.5806         2.9208         
493            4.043            3.7536         3.6923         
494            4.744            4.0451         3.88           
495            3.915            4.0773         4.2003         
496            5.625            4.4456         4.2266         
497            4.216            4.4795         4.6335         
498            3.39             4.3623         4.6593         
499            3.168            4.2241         4.5133         
500            4.496            4.3186         4.3441         
501            4.964            4.4741         4.4439         
502            4.622            4.556          4.6134         
503            3.109            4.3917         4.6972         
504            5.106            4.5455         4.4959         
505            3.399            4.4631         4.9177         
506            3.399            4.2928         4.5616         
507            4.11             4.3103         4.4781         
508            3.1              4.0052         4.3872         
509            4.694            4.1921         3.9605         
510            3.178            3.9422         4.2052         
511            4.21             3.9938         3.9216         
512            3.803            3.9502         3.9814         
513            3.387            3.837          3.9327         
514            3.133            3.6987         3.8053         
515            4.062            3.7403         3.6501         
516            3.533            3.6898         3.701          
517            3.881            3.702          3.646          
518            3.422            3.6418         3.6633         
519            4.39             3.7385         3.5968         
520            3.492            3.6895         3.7121         
521            3.72             3.6806         3.6575         
522            2.648            3.5109         3.6496         
523            3.504            3.4861         3.4551         
524            3.848            3.5174         3.4309         
525            4.501            3.6467         3.4717         
526            2.99             3.5386         3.626          
527            4.622            3.6869         3.5018         
528            3.965            3.725          3.6775         
529            3.719            3.7231         3.7227         
530            3.188            3.641          3.7207         
531            3.412            3.5996         3.6253         
532            3.938            3.6419         3.5783         
533            3.236            3.561          3.6167         
534            4.343            3.6838         3.5373         
535            3.525            3.6566         3.6817         
536            3.378            3.6086         3.6504         
537            2.083            3.3582         3.5952         
538            4.082            3.4509         3.3061         
539            4.154            3.547          3.4177         
540            3.835            3.5852         3.5317         
541            2.856            3.4695         3.5772         
542            3.904            3.5251         3.4437         
543            3.385            3.4975         3.5103         
544            3.332            3.4647         3.4794         
545            1.97             3.2291         3.4428         
546            4.278            3.3629         3.171          
547            4.174            3.4717         3.3311         
548            4.199            3.5764         3.4601         
549            4.312            3.7085         3.589          
550            3.327            3.6553         3.735          
551            3.476            3.6324         3.6712         
552            2.324            3.425          3.6434         
553            3.956            3.5002         3.4022         
554            3.482            3.4935         3.4911         
555            4.04             3.5748         3.4841         
556            3.042            3.4942         3.5791         
557            4.389            3.6279         3.4853         
558            3.39             3.5971         3.6411         
559            3.73             3.6204         3.6043         
560            2.217            3.412          3.6308         
561            2.997            3.339          3.388          
562            2.023            3.126          3.3051         
563            1.833            2.9031         3.0603         
564            3.08             2.8937         2.8196         
565            1.61             2.461          2.5166         
566            4.345            2.7983         2.3322         
567            3.892            2.9825         2.7304         
568            4.178            3.1875         2.9473         
569            2.702            3.1014         3.1856         
570            3.725            3.2011         3.0868         
571            3.296            3.2174         3.2026         
572            2.487            3.1014         3.2212         
573            2.064            2.9314         3.0872         
574            4.111            3.0987         2.8921         
575            3.778            3.1991         3.0884         
576            3.993            3.3232         3.2054         
577            3.114            3.3022         3.3487         
