APPROX_POSITION£º  -2279828.8823,   5004706.5099,   3219777.4476  (m)
PRN,s:, Satposition(X),   Satposition(Y),   Satposition(Z),      Sat Clock(m),   Elevation(¡ã),             CL(m),       Trop Delay(m)
Satellite Number:  9,  GPS time£º  91290
G17,   -17699813.5613 ,   15281703.2022 ,   12602350.5908 ,      -15738.5843 ,        61.9336 ,    20786500.6721 ,       2.6129 
G04,    -4974347.6990 ,   15414721.1494 ,   20705358.1738 ,        1324.8608 ,        61.2809 ,    20526086.7111 ,       2.6290 
G28,   -12696833.9608 ,   19065079.4596 ,  -12700296.7066 ,       95550.9333 ,        16.3499 ,    23561517.0781 ,       8.0778 
G10,    -9091345.3130 ,   23610132.5111 ,    6998667.9828 ,      -32079.8222 ,        69.8663 ,    20202322.8591 ,       2.4562 
G02,    10179168.0177 ,   20610337.4449 ,   13975923.5808 ,      140434.0101 ,        35.7339 ,    22541235.8671 ,       3.9397 
Satellite Number:  10,  GPS time£º  91470
G13,   -25951683.5244 ,    4891383.5111 ,    3356118.5338 ,       14190.9996 ,        20.8731 ,    23658304.6091 ,       6.4185 
G12,    11999228.6196 ,   11149274.9186 ,   20909445.0342 ,       52656.3690 ,        21.6808 ,    23496717.0631 ,       6.1944 
G05,     3534285.7807 ,   24381510.6003 ,   -9756903.0246 ,     -118312.5937 ,        15.7534 ,    24152875.2581 ,       8.3660 
G23,   -22840019.4715 ,   -1803785.9367 ,   13865328.0050 ,        5744.3274 ,        17.8830 ,    24127295.5701 ,       7.4229 
G17,   -17746389.9710 ,   15290693.1621 ,   12523518.7676 ,      -15738.6370 ,        61.8193 ,    20790120.4691 ,       2.6157 
G04,    -5040066.4102 ,   15366568.8778 ,   20725698.6669 ,        1324.8600 ,        61.2492 ,    20527791.9691 ,       2.6298 
G28,   -12691807.1848 ,   19013425.2912 ,  -12779281.2344 ,       95550.9446 ,        16.1277 ,    23581936.4841 ,       8.1827 
G20,   -14908430.5964 ,   -7088837.8072 ,   20628514.2860 ,       44011.6657 ,         9.0210 ,    24629849.9691 ,      14.0567 
G10,    -9097434.9998 ,   23580222.7594 ,    7088201.8236 ,      -32079.7983 ,        70.1339 ,    20193784.3131 ,       2.4520 
G02,    10133897.4901 ,   20584433.9346 ,   14046571.2285 ,      140433.9817 ,        35.8492 ,    22532217.4301 ,       3.9289 
